"word","definition","synonyms","example"
"abject","adj. hopeless or miserable","","Many charities have been started as a result of the abject poverty existing in many countries."
"absorbent","adj. having the quality of holding water","bibulous","The paper towels were not as absorbent as the sponge."
"abundance","n. greater amount than needed","barrel, boatload, bucket, bushel","There is an abundance of oil in Saudi Arabia."
"accessory","n. an extra or added part","auxiliary","A handbag is an important accessory to a woman's wardrobe."
"accomodation","n. something supplied for convenience","","Temporary accommodation were provided for the refugees."
"accomplice","n. someone who helps another to break the law","abettor","The bank robber claims to have acted alone, but the police believe he had an accomplice."
"accomplish","v. to achieve","achieve","Everyone wishes to accomplish something in their lives."
"accost","v. to bother or threaten","","A person walking alone in a city can be accosted at any time."
"accrue","v. to build over time","","He had accrued a fortune by the age of 80."
"accumulate","v. to build up or collect","appreciate, balloon, boom, build (up)","If a room is not used, dust begins to accumulate."
"acuity","n. sharpness of perception","acuteness","Visual acuity is important to a pilot."
"adapt","v. to change","acclimate","Many wild animals cannot adapt to life in a zoo."
"admonish","v. to advise or to warn against","chide, rebuke, reprimand, reproach","Parents must admonish their children about the use of drugs"
"adroitly","adv. with easy skill and ability","ably","A great soccer player like Pele could adroitly pass the ball to a teammate."
"adavantage","n. benefit","","One advantage of not smoking is you save a lot of money."
"advocate","v. to propose or support","apostle, backer, booster, champion","Many doctors advocate a balanced diet that includes only a small amount of red meat."
"affluent","adj. rich or wealthy","flush","From the size of our homes, people assume we live in an affluent society."
"aggravate","v. to make worse","annoy","He aggravated his sore elbow by trying to play tennis."
"agitate","v. to cause trouble or upset","churn, stir, swirl, whirl","The students agitated the teacher by talking during class."
"ailment","n. physical or mental problem","affection","Coughing is a common ailment for people working in coal mines."
"akin","adj. like or similar to","affiliated, allied, kindred, related","Although ice skating is akin to roller skating, it is often more difficult for some people."
"allure","n. the ability to strongly attract","appeal","The allure of easy money and little work attracts many to a life of crime."
"amatuer","n. a nonprofessional","","An amatuer should never try to fix a problem that concerns electrical wiring."
"amicable","adj. friendly","agreeable, compatible, congenial, frictionless","An amicable man like Joe has many friends and belongs to many clubs."
"ample","adj. more than enough","abundant, bounteous, bountiful, comfortable","We had ample time to answer all of the questions."
"analyst","n. a person who carefully studies data in order to reach a conclusion","","The analyst studied the decline in church attendance."
"anchor","v. to hold in position","anchorperson","Only a steel chain with a great weight can anchor a large ship."
"anguish","n. great worry or concern","affliction, agony, distress, misery","Moving away from his friends caused the young man great anguish."
"angular","adj. to have sharp","","His long pointed nose and chin gave his face a very angular appearance."
"antique","adj. old or old–fashioned","age-old, aged, ancient, antediluvian","The antique chair was made in 1745."
"apparatus","n. device or machine","accoutrements","A chemistry lab is equipped with an apparatus to allow students to perform experiments."
"appreciable","adj. noticeable or sustainable","detectable","For weeks, there was no appreciable change in his illness until doctors began to administer antibiotics."
"approximate","adj. not exact but close to the amount or number","comparative","The approximate number of China's population is one billion."
"arduous","adj. difficult","challenging, demanding, difficult, exacting","Sailing alone across an ocean is an arduous task."
"arouse","v. to excite","awake, awaken, rouse, wake","Sharks are aroused by the smell of blood in water."
"arrogance","n. offensive display of superiority; overbearing pride","haughtiness","The man showed his arrogance by pushing his way to the front of the line and demanding to be served first."
"artifact","n. object made in the past","","Archaelogists dig through the ruins of ancient cities in order to find artifacts."
"aspire","v. to desire or to long for","aim","The young actor aspired to someday be a famous movie star."
"assert","v. to say that something is true or correct","affirm, aver, avouch, avow","Columbus asserted that the world was round and not flat."
"atop","prep. on top of","","A radio tower was placed atop the building."
"attain","v. to reach a goal or position","achieve, gain, hit, make","We can attain our dreams with hard work and dedication."
"audacious","showing a willingness to take bold risks; daring","bold, daring, fearless, brave","Many believed that Linbergh's audacious plan to cross the Atlantic alone in a single engine plane was impossible."
"augment","v. to add to","add (to)","He had to take a second job at night to augment his low salary."
"authentic","genuine; not fake or copied","genuine, real, legitimate, true","The jewels in her necklace were so large that many believed they were not authentic."
"automation","n. machine which performs jobs normally done by humans","","Automations will be used in space flights to distant planets because of the many years the journeys will take."
"aversion","n. dislike","disgust, distaste, loathing, nausea","She has a strong aversion to most insects, but hates flies most of all."
"ban","v. to make illegal","embargo, interdict, interdiction, prohibition","Many drugs have been banned after it was found out that they caused dangerous side–effects."
"barricade","v. to be surrounded with walls for protection","barrier","The soldiers built a barricade to keep their enemies out."
"basis","n. the foundation","base","A good education is the basis for a successful career."
"behavior","n. conduct or actions","actions","The student's rude and noisy behavior was unnacceptable to his teacher."
"bewilder","v. to confuse","addle","He was bewildered by many of the difficult questions asked in the test."
"blight","n. disease or curse","","The blight of many of our inner cities is caused by poor economic conditions."
"blunder","n. a bad mistake","error","Trying to cheat on the test was a blunder that caused him to fail the course."
"bribe","n. the illegal act of giving money to someone in order to influence their actions","fix","The man tried to give the policeman a bribe so that he would not give him a speeding ticket."
"brittle","adj. easily broken","crisp","When we grow older, our bones may become brittle."
"callous","adj. having no feeling","cold-blooded","Her callousness jept her from making a donation to charity."
"canal","n. structure designed to carry liquids","aqueduct","A canal was built across the desert to provide water for the new city."
"capacious","adj. having a large area","ample","It was a huge house and the capacious dining room could fit 100 guests."
"castigate","v. to strongly criticize","bawl out, berate, chew out, dress down","The politician was castigated for having lied about his love affair."
"cessation","n. an ending or completion","close","With the cessation of war, refugees returned to their homes and began to rebuild."
"chaos","n. total confusion","confusion","The effects of the earthquake created chaos in the city."
"chasm","n. a deep hole","abyss","The explosion caused a chasm in the side of the mountain."
"coerce","v. to try to force one to do or say something against his/her will","compel","She felt coerced by her friends who promisde never to talk to her again if she didn't help them cheat on the test."
"commerce","n. the activity of business and trade","business","Commerce between the two countries has increased because of the new trade policy."
"composite","n. something formed by the combination of different elements","amalgamated","Salt is a composite of sodium and chloride."
"compulsory","adj. required","forced","Compulsory education in the US requires that every child attend school until the age of 16."
"condone","v. to approve of or forgive an action","brush (aside or off)","The judge condoned the woman's actions by saying she acted in self–defense."
"confine","v. to limit or restrict movement","circumscribe, limit, restrict","After the accident, he was confined to a wheel chair for many weeks."
"congeal","v. to change from liquid to a solid","concrete","The milk that was left in the glass overnight slowly began to congeal."
"conscientious","adj. careful to fulfill responsibilities","ethical, honest, honorable, just","Since the lives of many people are in their hands, pilots and doctors need to be consciencetious."
"consummate","v. to perfect or complete","accomplished, ace, adept, crack","Their long romance was consummated in marriage."
"contingent","adj. likely but not certain to happen","delegation","adj. likely but not certain to happen"
"conventional","adj. common or usual","current, customary, going, popular","In Japan, wood is the conventional material used to build cities."
"corroborate","v. to confirm or support what someone else has said","bear out","His explanation of what caused the accident was corroborated by a policeman who saw it happen."
"decrepit","adj. old and in poor condition","","The house was so decrepit that it would be cheaper to tear it down and rebuild than try to repair it."
"deprecate","v. to criticize or belittle","bad-mouth, belittle, cry down, decry","Thomas Edison's efforts to create a light bulb were deprecated by many experts as impossible."
"deride","v. to strongly criticize","gibe","Crititcs dereided the author's new book as being poorly written and filled with lies."
"deviate","v. to change course","detour","If we never deviate from our normal activities our lives will be boring."
"digress","v. to turn away from the main subject of attention","","To be an effective writer, you must never digress to far from the main topic."
"discern","v. to discover or to be able to tell the difference between two things","behold, descry, distinguish, espy","Only an expert could discern which painting was the original."
"disseminate","v. to send out","broadcast","His job as a mailman is to disseminate the mail."
"dubious","adj. doubtful or uncertain","debatable, disputable, doubtable, doubtful","Fred was not hired for the job because of his dubious reputation."
"elicit","v. to draw out","educe","The inspector was determined to elicit as much information as he could from each suspect."
"elucidate","v. to explain or clarify","clarify","He was always proud that he could elucidate the difficult passages in the chemistry book."
"elusive","adj. difficult to find","evasive","The criminal remained elusive to the police for a few months."
"emulate","adj. to copy or to follow","ape","Many children like to emulate their parents in some ways."
"ensue","v. to follow","","Carlos was determined to ensue the career choice he had in mind."
"enticement","v. something that attracts or lures","allurement, bait, lure, temptation","The enticement of winning a trip to Hawaii caused her to her to fill out 15 contest entry forms."
"equivocal","adj. uncertain or vague","debatable, disputable, doubtable, doubtful","Her equivocal response did not tell me if she liked the idea or not."
"exasperate","v. to annoy a person until he/she reaches a state of confusion or anger","aggravate","He exasperated him so much that he backed into a fence with his car."
"exempt","v. to release from a committment","","Jimmy was exempted from from gym after he ran into a fence."
"exorbitant","adj. extremely high priced","devilish","They were selling hot dogs for the exorbitant price of $10."
"explicit","adj. clear and specific","clear-cut","She considered her instructions explicit and did not understand why he kept following them incorrectly."
"facilitate","v. to aid or assist","ease","Automatic doors facilitate the movement of handicapped people."
"foster","v. to help to grow with care and support","advance, cultivate, encourage, forward","Sunlight and water help to foster the growth of plants."
"futile","adj. useless or hopeless","abortive","He made a futile attempt to put out the fire, but the building burned to the ground."
"generic","adj. common or general","blanket","A generic brand of aspirin is much cheaper than the one with the brand name."
"germinate","v. to begin to grow","","It takes two weeks after the seeds have been planted for them to germinate."
"gist","n. the essential part or a summary","core","He didn't want the details; he just wanted the gist of the story."
"globose","adj. shaped like a globe or a sphere","","The shape of the fat man's stomach was globose."
"grievance","n. a complaint or an objection","grudge, resentment, score","If a worker has a grievance, he should discuss it with his supervisor."
"haphazard","adj. in a careless or disorganized fashion","aimless","She was such a haphazard driver that she had four accidents in four days."
"hold","v. to argue or propose","clasp, grapple, grasp, grip","Many geographers held that the world was flat."
"imminent","adj. approaching","impending, looming, pending, threatening","The residents who remained in the city were in imminent danger of the approaching storm."
"impediment","n. obstacle or barrier","balk","Nervousness is often an impediment to learning to speak a new language."
"impinge","v. to impact","bang","The long hours he spent at work impinged his relationship with his family."
"inaugurate","v. to begin","constitute, establish, found, initiate","A ceremony took place to inaugurate the opening of the new bridge."
"inception","n. the beginning","alpha","At the inception of the company there were only two employees; a year later, there were a hundred."
"incessant","v. constant","ceaseless","He had to leave the city to escape the incessant noise of traffic."
"incisive","adj. clear","","His incisive ideas helped them find a solution to the problems."
"inconsequential","adj. of no real importance","frivolous","We do a thousand inconsequential actions each day which our minds quickly forget after doing them."
"indict","v. to be brought to trial and accused","accuse","The wife, who was found holding the gun, was indicted for the murder of her husband."
"induce","v. to cause to happen","breed, bring, bring about, cause","Doctors often prescribe drugs that induce sleep."
"inept","adj. lacking the necessary skill or ability","incapable, incompetent, inexpert, unfit","Her nervousness made her totally inept as a speaker."
"integrate","v. to combine with or to unite together","assimilate, embody, incorporate","In the 1960s, schools in America were integrated so that black and white children could attend classes together."
"intricate","adj. complex or complicated","complex, complicated, convoluted, elaborate","A wristwatch is a very intricate machine."
"jilt","v. to abandon one's lover","","After waiting an hour in a restaurant for her boyfriend to appear, she knew she had been jilted."
"lament","v. to express great sorrow","groan, howl, keen, lamentation","For many years, the mother lamented the death of her son."
"loot","v. to steal","booty","When the electricity went out, people began to loot the shops along the darkened streets."
"malign","v. to injure someone by saying bad things about him or her","catty","His reputation was maligned by the story in the newspaper which called him a liar."
"masonry","n. blocks or bricks jointed together with cement","","The masonry of ancient Egyptians can be seen in their pyramids."
"menace","n. a threat or threatening","danger","Air pollution is a menace to our health."
"meticulous","adj. precise and careful about even the smallest detail","careful","She was so meticulous about her house that she even scrubbed the garage door."
"morbid","adj. psychologically unhealthy","black","Sally was so morbid at times that her friends stopped calling her."
"negligible","adj. unimportant or insignificant","inconsequential, inconsiderable, insignificant, measly","Debbie felt her opinions were negligible by her coworkers."
"notorious","adj. famous for wrong actions","discreditable, disgraceful, dishonorable, disreputable","Luiz was notorious for borrowing money and failing to pay it back."
"obscure","adj. not well known","ambiguous, cryptic, dark, darkling","Alex always enjoyed the obscure writings of the early philosophers."
"obsolete","adj. no longer of any use","antiquated","The customer knew the record player would soon become obsolete, but he bought it anyway."
"ominous","adj. menacing or threatening","baleful","The large black clouds looked ominous, and so the baseball game was canceled."
"ostensibly","adv. as it appears","apparently","Ostensibly, he was honest about his past, but she didn't trust him."
"palatable","adj. eatable or good tasting","agreeable, all right, alright, copacetic","Mike and Sara agreed that their dinner at the new restaurant was just about palatable."
"patent","n. legal right of ownership","apparent, barefaced, broad, clear","Tom was advised to get a patent for his latest invention."
"perpetual","adj. lasting forever","ceaseless, dateless, deathless, endless","Mary hoped that her neighbor's sunrise visists would not become a perpetual problem."
"phlegmatic","adj. showing no feeling or energy","apathetic","After two straight days without sleep, he appeared phlagmatic as he sat at his desk with the test before him."
"placate","v. to make peace with an enemy","appease","He tried to placate his angry wife by giving her flowers."
"plethora","n. large amount of variety","","When he saw the plethora of food and drink, he knew it was a real feast."
"precede","v. to come before","antedate","Fall precedes winter."
"prelude","adj. what comes before","foreword","The dark skies were a prelude to the upcoming storm."
"premise","n. an unproven idea which is the basis for research","assumption, postulate, presumption, presupposition","His theory was based on the premise that animals could be taught to read."
"prevalent","adj. common in many areas","conventional","Colds are most prevalent during the winter months."
"probe","v. a careful study to discover information","delving","The detective began to probe through the dark house with a flashlight."
"prolific","adj. abundant or productive","fat","He was such a prolific writer that he was able to complete the novel in three weeks."
"prosecute","v. to seek punishment for breaking the law","","The banker was prosecuted for stealing money from his own bank."
"recede","v. to go back to a previuos state","abate, de-escalate, decline, decrease","The water slowly began to recede to its normal level."
"receptive","adj. open to new ideas","broad-minded","He was not receptive to new ideas."
"recluse","n. one who wishes to live alone","anchorite","The old recluse lived deep in the woods"
"revenue","n. money collected from taxes or by a business","earnings","The government receives the revenue needed to operate by taxing people and companies."
"sagacity","n. wisdom or great knowledge","discernment","Through long years of experience and study, the old man had acquired a sagacity about the ways of men."
"senility","n. mental condition of confusion caused by old age","","Everyone reaches a stage of senility if they live long enough."
"skeptical","adj. unbelieving","disbelieving","We should always be skeptical when someone tells us they know an easy way to make money."
"sleazy","adj. of low quality","bad, bum, cheap, cheesy","The hotel room was so sleazy that not even rats wanted t be there."
"sporadic","adj. occuring at odd intervals","casual, choppy, discontinuous, erratic","At sporadic times, the sky was lit by flashes of lightning."
"spurn","v. to reject","decline","She would never forget how her husband had spurned her for another woman."
"stagnant","adj. not flowing or moving","","Mosquitoes will breed in stagnant water."
"subordinate","v. to put under control of higher power","inferior","They were surprised to hear that tha company subordinated him under a newer employee."
"supercede","v. to take the place of","","Judy superceded Beatrice as the president of the Woman's Club."
"surmise","v. to assume","conjecture","They surmised the class professor would be harsh by the stern look on his face."
"tactile","adj. related to the sense of touch","","The curators of the state museum were pleased that the tactile activities delighted the children who visited it."
"tailor","v. to design to fit particular needs","acclimate","The passengers had such a good time that they swore the trip was tailored just for them."
"tangible","adj. toucahble or real","palpable","Marissa insisted on some tangible evidence from the victim before she could accuse the susppect."
"tentative","adj. temporary or uncertain","conditional","A tentative schedule was set up for the employees until the new business was fully operational."
"tenuous","adj. vague or weak","","She felt her husbands tenuous grasp of their marital problems would lead them to divorce."
"terse","adj. short or brief","aphoristic","She abruptly hung up the phone after Kurt's terse reply."
"tract","n. an area or region","belt, land, part(s), region","City officials plan to turn the tract along the river into a park."
"transact","v. to engage in or to accomplish","","Simon hated the daily routine of transacting with business leaders, so he quit and became a sculptor."
"transcribe","v. to write down what is spoken","","Fortunately,many of the poet's last words were transcribed by his wife."
"traverse","v. to cross","cover","Because the bridge was traversed by so many people traveling in the city, it was finally closed for repairs."
"trivial","adj. unimportant","frivolous","He thought his complaints were trivial and left the room."
"tumult","n. chaos or upheaval","ado, bluster, bother, bustle","The sudden cancellation of the concert caused such tumult in the crowd that police were called."
"vacillate","v. to hesitate or to waver","falter","He impatiently drummed his finger on the table as his son vacillated between ordering french fries or a hamburger."
"venture","v. too gamble or risk","chance","He refused to support his son's latest business venture."
